"Banque","Type","Adresse","Longitude","Latitude"
"Credit Agricole","Coopérative","214 AVENUE JEAN JAURÈS  84210 PERNES-LES-FONTAINES",5.056726,43.99656
"Credit Agricole","Coopérative","472 ROUTE D'AIX  84120 PERTUIS",5.499893,43.680701
"Credit Agricole","Coopérative","6 RUE EUGÈNE PELLETAN  13330 PÉLISSANNE",5.152041,43.630689
"Credit Agricole","Coopérative","155 RUE PASTEUR  84420 PIOLENC",4.762472,44.176879
"Credit Agricole","Coopérative","54 BOULEVARD JEAN JAURÈS  13340 ROGNAC",5.22792,43.4879
"Credit Agricole","Coopérative","4 COURS SAINT-ETIENNE  13840 ROGNES",5.347501,43.663991
"Credit Agricole","Coopérative","8 AVENUE DU COMMANDANT MARQUIS  13870 ROGNONAS",4.803668,43.90096
"Credit Agricole","Coopérative","ZAC ST ESTÈVE  13360 ROQUEVAIRE",5.596425,43.338209
"Credit Agricole","Coopérative","PLACE PAUL BORDE  13790 ROUSSET",5.625022,43.480312
"Credit Agricole","Coopérative","RUE LUCIEN GIRARD  84110 SABLET",5.007155,44.191188
"Credit Agricole","Coopérative","221 CHEMIN DES ENTRAGES  13300 SALON-DE-PROVENCE",5.099104,43.623285
"Credit Agricole","Coopérative","14 BOULEVARD MARÉCHAL FOCH  13300 SALON-DE-PROVENCE",5.095322,43.639806
"Credit Agricole","Coopérative","33, PLACE JEAN JAURES  84260 SARRIANS",4.97094,44.082101
"Credit Agricole","Coopérative","RUE DE L'ORATOIRE  84390 SAULT",5.41088,44.092807
"Credit Agricole","Coopérative","IM. L'ALBATROS PLACE DE L'ÉGLISE  05160 SAVINES-LE-LAC",6.405101,44.525782
"Credit Agricole","Coopérative","PLACE DU MARCHÉ  13560 SENAS",5.081861,43.752591
"Credit Agricole","Coopérative","1 RUE VARANFRAIN  05700 SERRES",5.716052,44.428608
"Credit Agricole","Coopérative","121 AVENUE D'AVIGNON  84700 SORGUES",4.87156,44.007286
"Credit Agricole","Coopérative","14 BIS PLACE DU COMMANDANT DUMONT  05130 TALLARD",6.055074,44.461737
"Credit Agricole","Coopérative","17 COURS ARISTIDE BRIAND  13150 TARASCON",4.657655,43.802989
"Credit Agricole","Coopérative","4 AVENUE MIRABEAU  13530 TRETS",5.683988,43.447794
"Credit Agricole","Coopérative","1 RUE ERNEST RENAN  84110 VAISON-LA-ROMAINE",5.073817,44.24095
"Credit Agricole","Coopérative","40 COURS VICTOR HUGO  84600 VALRÉAS",4.988996,44.385977
"Credit Agricole","Coopérative","129 COURS MARÉCHAL LECLERC  84270 VEDÈNE",4.905584,43.980312
"Credit Agricole","Coopérative","30 AVENUE DU GÉNÉRAL LECLERC  13880 VELAUX",5.25552,43.534388
"Credit Agricole","Coopérative","13 RUE DE LA GARE  13770 VENELLES",5.474499,43.586031
"Credit Agricole","Coopérative","3 AVENUE PICASSO  05400 VEYNES",5.823357,44.533696
"Credit Agricole","Coopérative","ROND POINT DE LA PIERRE PLANTÉE  13127 VITROLLES",5.248124,43.446446
"Credit Agricole","Coopérative","2 AVENUE DU MARÉCHAL FOCH  68130 ALTKIRCH",7.2353,47.621332
"Credit Agricole","Coopérative","7 RUE DE LA 5EME DIVISION BLINDÉE  68770 AMMERSCHWIHR",7.284626,48.124089
"Credit Agricole","Coopérative","7 RUE DE REMIREMONT  88380 ARCHES",6.530564,48.118228
"Credit Agricole","Coopérative","2 PLACE DE L'HÔTEL DE VILLE  67140 BARR",7.449257,48.409164
"Credit Agricole","Coopérative","4 RUE DE L'ANCIENNE PORTE  67230 BENFELD",7.593029,48.371053
"Credit Agricole","Coopérative","40 RUE DU GÉNÉRAL DE GAULLE  68630 BENNWIHR",7.323332,48.146536
"Credit Agricole","Coopérative","1 GRAND RUE  67660 BETSCHDORF",7.913126,48.900025
"Credit Agricole","Coopérative","21 RUE DU CIMETIÈRE  67660 BETSCHDORF",7.872797,48.901682
"Credit Agricole","Coopérative","10 GRAND'RUE  68600 BIESHEIM",7.54543,48.040681
"Credit Agricole","Coopérative","6 RUE DU GÉNÉRAL RAMPONT  67240 BISCHWILLER",7.858969,48.768339
"Credit Agricole","Coopérative","1 RUE DU GÉNÉRAL DE GAULLE  68730 BLOTZHEIM",7.49573,47.601444
"Credit Agricole","Coopérative","65 GRAND RUE  67330 BOUXWILLER",7.479673,48.825516
"Credit Agricole","Coopérative","8 RUE DU GÉNÉRAL DE GAULLE  67170 BRUMATH",7.708808,48.731734
"Credit Agricole","Coopérative","34 RUE DU CAMEROUN  88600 BRUYERES",6.720851,48.209689
"Credit Agricole","Coopérative","115, RUE SAINTE ANNE  88140 BULGNEVILLE",5.835733,48.207483
"Credit Agricole","Coopérative","21, GRAND RUE  68000 COLMAR",7.359696,48.076664
"Credit Agricole","Coopérative","125, AVENUE D'ALSACE  68000 COLMAR",7.365909,48.070638
"Credit Agricole","Coopérative","2 AVENUE RAYMOND POINCARÉ  68000 COLMAR",7.348147,48.071809
"Credit Agricole","Coopérative","125 AVENUE D'ALSACE  68000 COLMAR",7.365909,48.070638
"Credit Agricole","Coopérative","2 AVENUE RAYMOND POINCARÉ  68000 COLMAR",7.348147,48.071809
"Credit Agricole","Coopérative","2 AVENUE GEORGES CLÉMENCEAU  68700 CERNAY",7.176124,47.808924
"Credit Agricole","Coopérative","13 RUE GRANDE RUE  88270 CHARMOIS-L'ORGUEILLEUX",6.270252,48.103655
"Credit Agricole","Coopérative","3 RUE PIERRE DE COUBERTIN  88170 CHATENOIS",5.839041,48.300659
"Credit Agricole","Coopérative","14 RUE DU SHAH DE PERSE  88140 CONTREXÉVILLE",5.894912,48.180828
"Credit Agricole","Coopérative","10 RUE DE L'HÔTEL DE VILLE B.P. 22  88430 CORCIEUX",6.879507,48.17254
"Credit Agricole","Coopérative","8, PLACE DE LA PRANZIÈRE  88310 CORNIMONT",6.837775,47.962657
"Credit Agricole","Coopérative","43 RUE DU MARECHAL FOCH  67650 DAMBACH LA VILLE",7.425282,48.325394
"Credit Agricole","Coopérative","3 PLACE DE L'HÔTEL DE VILLE  68210 DANNEMARIE",7.119718,47.631082
"Credit Agricole","Coopérative","19 RUE DE LA RÉPUBLIQUE  88260 DARNEY",6.04482,48.086341
"Credit Agricole","Coopérative","71 GRAND RUE  67430 DIEMERINGEN",7.187019,48.942017
"Credit Agricole","Coopérative","48 RUE DE LA GARE  88270 DOMPAIRE",6.228299,48.219973
"Credit Agricole","Coopérative","7 RUE DE PHALSBOURG  67320 DRULINGEN",7.194128,48.866097
"Credit Agricole","Coopérative","54 RUE DU GÉNÉRAL DE GAULLE  67410 DRUSENHEIM",7.951901,48.763734
"Credit Agricole","Coopérative","21C RUE PRINCIPALE  67360 DURRENBACH",7.77117,48.893746
"Credit Agricole","Coopérative","12 RUE DE LA CHAPELLE  67600 EBERSHEIM",7.498472,48.301378
"Credit Agricole","Coopérative","2 RUE DE L'EGLISE  67201 ECKBOLSHEIM",7.686858,48.58044
"Credit Agricole","Coopérative","10 PLACE DU CHÂTEAU  68420 EGUISHEIM",7.306634,48.042672
"Credit Agricole","Coopérative","2 PLACE DU MARÉCHAL LECLERC  88510 ELOYES",-4.096496,47.327208
