"Banque","Type","Adresse","Longitude","Latitude"
"Credit Agricole","coopérative","8 rue du Général De Gaulle  67170 Brumath",7.708808,48.731734
"Credit Agricole","coopérative","34 rue du Cameroun  88600 Bruyeres",6.720851,48.209689
"Credit Agricole","coopérative","115, rue Sainte Anne  88140 Bulgneville",5.835733,48.207483
"Credit Agricole","coopérative","21, Grand Rue  68000 Colmar",7.359696,48.076664
"Credit Agricole","coopérative","125, avenue d'Alsace  68000 Colmar",7.365909,48.070638
"Credit Agricole","coopérative","2 Avenue Raymond Poincaré  68000 Colmar",7.348147,48.071809
"Credit Agricole","coopérative","125 Avenue d'Alsace  68000 Colmar",7.365909,48.070638
"Credit Agricole","coopérative","2 Avenue Raymond Poincaré  68000 COLMAR",7.348147,48.071809
"Credit Agricole","coopérative","2 avenue Georges Clémenceau  68700 Cernay",7.176124,47.808924
"Credit Agricole","coopérative","13 Rue Grande Rue  88270 Charmois-l'Orgueilleux",6.270252,48.103655
"Credit Agricole","coopérative","3 rue Pierre de Coubertin  88170 Chatenois",5.839041,48.300659
"Credit Agricole","coopérative","14 Rue du Shah de Perse  88140 Contrexéville",5.894912,48.180828
"Credit Agricole","coopérative","10 rue de l'Hôtel de Ville B.P. 22  88430 Corcieux",6.879507,48.17254
"Credit Agricole","coopérative","8, place de la Pranzière  88310 Cornimont",6.837775,47.962657
"Credit Agricole","coopérative","43 rue du Marechal Foch  67650 Dambach La Ville",7.425282,48.325394
"Credit Agricole","coopérative","3 place de l'Hôtel de Ville  68210 Dannemarie",7.119718,47.631082
"Credit Agricole","coopérative","19 rue de La République  88260 Darney",6.04482,48.086341
"Credit Agricole","coopérative","71 Grand Rue  67430 Diemeringen",7.187019,48.942017
"Credit Agricole","coopérative","48 rue de la Gare  88270 Dompaire",6.228299,48.219973
"Credit Agricole","coopérative","7 rue de Phalsbourg  67320 Drulingen",7.194128,48.866097
"Credit Agricole","coopérative","54 rue du Général De Gaulle  67410 Drusenheim",7.951901,48.763734
"Credit Agricole","coopérative","21c Rue Principale  67360 Durrenbach",7.77117,48.893746
"Credit Agricole","coopérative","12 Rue de la Chapelle  67600 Ebersheim",7.498472,48.301378
"Credit Agricole","coopérative","2 rue de l'Eglise  67201 Eckbolsheim",7.686858,48.58044
"Credit Agricole","coopérative","10 place du Château  68420 Eguisheim",7.306634,48.042672
"Credit Agricole","coopérative","2 Place du Maréchal Leclerc  88510 Eloyes",-4.096496,47.327208
"Credit Agricole","coopérative","1 rue des Donjons  88510 Eloyes",6.610559,48.093484
"Credit Agricole","coopérative","10 rue de La Première Armée  68190 Ensisheim",7.354513,47.865266
"Credit Agricole","coopérative","1 rue des Juifs  67680 Epfig",7.46412,48.359227
"Credit Agricole","coopérative","30 Bis rue de Remiremont  88000 Epinal",6.451554,48.159413
"Credit Agricole","coopérative","87 rue Notre Dame de Lorette  88000 Epinal",6.434199,48.174567
"Credit Agricole","coopérative","10 Quai Jules Ferry  88000 Epinal",6.448445,48.173525
"Credit Agricole","coopérative","14 rue Mercière  67150 Erstein",7.662514,48.42258
"Credit Agricole","coopérative","4 rue du Général De Gaulle  67114 Eschau",7.715393,48.488662
"Credit Agricole","coopérative","94 Rue Principale  67360 Eschbach",7.734169,48.873809
"Credit Agricole","coopérative","2 A rue Henri Ebel  67640 Fegersheim",7.680967,48.489318
"Credit Agricole","coopérative","1 place Mazarin  68480 Ferrette",7.313835,47.494185
"Credit Agricole","coopérative","47 rue de La Libération  68740 Fessenheim",7.537319,47.915352
