"Banque","Type","Adresse"
"credit_mutuel","cooperative","5 AVENUE BERTHOLLET ,  74000 ,  ANNECY"
"credit_mutuel","cooperative","63 RUE CARNOT ,  02400 ,  CHATEAU THIERRY"
"credit_mutuel","cooperative","2 PLACE DU DOCTEUR MOUFLIER ,  02600 ,  VILLERS COTTERETS"
"credit_mutuel","cooperative","15 COURS GAMBETTA ,  77120 ,  COULOMMIERS"
"credit_mutuel","cooperative","2 RUE CHARPENTIER ,  02200 ,  SOISSONS"
"credit_mutuel","cooperative","2 RUE DE CHAAGE ,  77100 ,  MEAUX"
"credit_mutuel","cooperative","5 RUE JEAN PIERROT ,  51200 ,  EPERNAY"
"credit_mutuel","cooperative","64 RUE NATIONALE ,  60800 ,  CREPY EN VALOIS"
"credit_mutuel","cooperative","6 RUE HENRI MOISSAN ,  51430 ,  BEZANNES"
"credit_mutuel","cooperative","58 PLACE DE L EGLISE ,  60330 ,  LE PLESSIS BELLEVILLE"
"credit_mutuel","cooperative","36 RUE DE MAGNY ,  77700 ,  BAILLY ROMAINVILLIERS"
"credit_mutuel","cooperative","2 T RUE DES ANEMONES ,  51430 ,  TINQUEUX"
"credit_mutuel","cooperative","14 COURS DU DANUBE ,  77700 ,  SERRIS"
"credit_mutuel","cooperative","14 RUE EDOUARD MIGNOT ,  51064 ,  REIMS"
"credit_mutuel","cooperative","21 RUE CONDORCET ,  51100 ,  REIMS"
"credit_mutuel","cooperative","23 ESPLANADE FLECHAMBAULT ,  51100 ,  REIMS"
"credit_mutuel","cooperative","79 AVENUE DE LAON ,  51100 ,  REIMS"
"credit_mutuel","cooperative","10 PLACE DE L HOTEL DE VILLE ,  02300 ,  CHAUNY"
"credit_mutuel","cooperative","25 PLACE BERTRAND LABARRE ,  60400 ,  NOYON"
"credit_mutuel","cooperative","1 RUE NOTRE DAME ,  80400 ,  HAM"
"credit_mutuel","cooperative","2 RUE ANATOLE DE LA FORGE ,  02100 ,  ST QUENTIN"
"credit_mutuel","cooperative","28 RUE D ISLE ,  02100 ,  ST QUENTIN"
"credit_mutuel","cooperative","3 PLACE CROMMELIN ,  02100 ,  ST QUENTIN"
"credit_mutuel","cooperative","5 PLACE VICTOR HUGO ,  02000 ,  LAON"
"credit_mutuel","cooperative","18 RUE D AMIENS ,  80700 ,  ROYE"
"credit_mutuel","cooperative","16 RUE D AMIENS ,  60200 ,  COMPIEGNE"
"credit_mutuel","cooperative","4 PLACE SAINT JACQUES ,  60200 ,  COMPIEGNE"
"credit_mutuel","cooperative","6 PLACE DE L ANCIEN HOPITAL ,  60200 ,  COMPIEGNE"
"credit_mutuel","cooperative","18 PLACE DU CDT LOUIS DAUDRE ,  80200 ,  PERONNE"
"credit_mutuel","cooperative","34 RUE LOUIS PIERRE DUGROSPREZ ,  60610 ,  LACROIX ST OUEN"
"credit_mutuel","cooperative","50 PLACE D ARMES ,  02120 ,  GUISE"
"credit_mutuel","cooperative","581 AVENUE DU GENERAL DE GAULLE ,  59231 ,  GOUZEAUCOURT"
"credit_mutuel","cooperative","10 RUE HENRI BODCHON ,  60700 ,  PONT STE MAXENCE"
"credit_mutuel","cooperative","10 PLACE SADI CARNOT ,  59360 ,  LE CATEAU CAMBRESIS"
"credit_mutuel","cooperative","15 PLACE ANDRE BONNAIRE ,  59550 ,  LANDRECIES"
"credit_mutuel","cooperative","12 PLACE EUGENE FIEVET ,  59540 ,  CAUDRY"
"credit_mutuel","cooperative","10 RUE CHARLES DE GAULLE ,  02500 ,  HIRSON"
"credit_mutuel","cooperative","28 RUE JEAN JAURES ,  59610 ,  FOURMIES"
"credit_mutuel","cooperative","12 RUE SAINT BARTHELEMY ,  59440 ,  AVESNES SUR HELPE"
"credit_mutuel","cooperative","5 RUE EMILE DUEE ,  59730 ,  SOLESMES"
"credit_mutuel","cooperative","16 AVENUE DE LA GARE ,  59440 ,  AVESNES SUR HELPE"
"credit_mutuel","cooperative","27 RUE JEAN JAURES ,  59620 ,  AULNOYE AYMERIES"
"credit_mutuel","cooperative","13 RUE CAMELINAT ,  59129 ,  AVESNES LES AUBERT"
"credit_mutuel","cooperative","18 RUE JEAN JAURES ,  59530 ,  LE QUESNOY"
"credit_mutuel","cooperative","24 RUE DU GENERAL DE GAULLE ,  59400 ,  CAMBRAI"
"credit_mutuel","cooperative","58 AVENUE DE LA VICTOIRE ,  59400 ,  CAMBRAI"
"credit_mutuel","cooperative","16 GRAND PLACE ,  59740 ,  SOLRE LE CHATEAU"
"credit_mutuel","cooperative","36 PLACE DE GAULLE ,  59330 ,  HAUTMONT"
"credit_mutuel","cooperative","46 RUE GAMBETTA ,  08500 ,  REVIN"
"credit_mutuel","cooperative","1 PLACE DES NATIONS ,  59600 ,  MAUBEUGE"
"credit_mutuel","cooperative","68 RUE HECTOR DESPRET ,  59460 ,  JEUMONT"
"credit_mutuel","cooperative","20 PLACE DU 11 NOVEMBRE ,  59570 ,  BAVAY"
"credit_mutuel","cooperative","1 RUE NOEL ,  08000 ,  CHARLEVILLE MEZIERES"
"credit_mutuel","cooperative","2 PLACE DE NEVERS ,  08102 ,  CHARLEVILLE MEZIERES"
"credit_mutuel","cooperative","14 AVENUE D ARCHES ,  08000 ,  CHARLEVILLE MEZIERES"
"credit_mutuel","cooperative","2 RUE BAUDIN ,  08000 ,  CHARLEVILLE MEZIERES"
"credit_mutuel","cooperative","61 AVENUE NATIONALE ,  51100 ,  REIMS"
