"Banque","Type","Longitude","Latitude","Adresse"
"banque_populaire","cooperative",1.866749,42.969183,"Ctre Cial Les Castillanes09600 LAROQUE D'OLMES"
"banque_populaire","cooperative",1.846493,42.931691,"24, rue Jean Jaurès09300 LAVELANET"
"banque_populaire","cooperative",1.326643,43.310634,"3, rte de ToulouseLa Riverette09210 LEZAT SUR LEZE"
"banque_populaire","cooperative",1.874908,43.088199,"45, pl du Maréchal Leclerc09500 MIREPOIX"
"banque_populaire","cooperative",1.575051,43.235233,"2, rue Sarrut09700 SAVERDUN"
"banque_populaire","cooperative",1.142395,42.984594,"62, rue de Villefranche09200 ST GIRONS"
"banque_populaire","cooperative",1.626191,43.094777,"19, rue Mille Hommes09100 ST JEAN DU FALGA"
"banque_populaire","cooperative",1.605644,42.847575,"2, ave Victor Pilhes09400 TARASCON SUR ARIEGE"
"banque_populaire","cooperative",3.730568,48.222041,"3, rue Georges Clemenceau10160 AIX VILLEMAUR PALIS"
"banque_populaire","cooperative",4.141673,48.536844,"5, rue de Châlons10700 ARCIS SUR AUBE"
"banque_populaire","cooperative",4.706061,48.232953,"3-5, rue d'Aube10200 BAR SUR AUBE"
"banque_populaire","cooperative",4.526086,48.393919,"92 bis, rue de l'Ecole Militaire10500 BRIENNE LE CHATEAU"
"banque_populaire","cooperative",4.362311,47.993869,"9, rue de la Presle10340 LES RICEYS"
"banque_populaire","cooperative",4.362311,47.993869,"9, rue de la Presle10340 LES RICEYS"
"banque_populaire","cooperative",3.501123,48.493912,"11, rue Saint Epoing10400 NOGENT SUR SEINE"
"banque_populaire","cooperative",3.729027,48.518297,"41, rue Gornet Boivin10100 ROMILLY SUR SEINE"
"banque_populaire","cooperative",4.118959,48.298291,"61 bis, ave de Gaulle10410 ST PARRES AUX TERTRES"
"banque_populaire","cooperative",4.051935,48.281056,"Ctre Cial CarrefourAve Charles de Refuge10120 ST ANDRE LES VERGERS"
"banque_populaire","cooperative",1.06756,47.79027,"79 bis, ave Galliéni10300 STE SAVINE"
"banque_populaire","cooperative",4.080289,48.279424,"242, rue du Faubourg Croncels10000 TROYES"
"banque_populaire","cooperative",4.087616,48.304103,"13, ave Colbert10000 TROYES"
